782361540,EN-US, Neither agree or disagree, Agree, Strongly agree, Agree, Agree, Strongly agree, Disagree,Strongly agree, Strongly agree
603874215,EN-US, Strongly Agree, Agree, Strongly Agree, Strongly Agree, Agree, Disagree,Strongly Agree, Neither agree or disagree, Agree
310257846,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord
137428056,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo
801452376,EN-US, Strongly Agree, Strongly Agree, Agree, Strongly Agree, Agree, Disagree, Neither Agree or Disagree, Agree,Strongly Agree
603724581,FR-CA, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord
873162045,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo
834726105,EN-US, Agree, Strongly Agree, Disagree, Strongly Agree, Strongly Agree, Neither agree or disagree, Agree, Agree,Strongly Agree
153708642,FR-CA, Ni d'accord ni en désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
716452830,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
314608572,EN-US, Disagree, Strongly agree, Neither agree or disagree,Strongly agree, Strongly agree, Strongly agree, Agree, Agree, Agree
864712350,FR-CA, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord
830412576,ES-US, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo
703486521,EN-US, Strongly agree, Disagree, Agree, Strongly agree, Agree, Strongly agree, Agree,Strongly agree, Neither agree or disagree
756140382,FR-CA, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord
034825761,ES-US,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
673084251,EN-US, Agree, Disagree, Strongly Agree, Strongly Agree, Agree, Agree,Strongly Agree, Strongly Agree, Disagree
801257364,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
365712048,ES-US, Totalmente de acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo
876342501,EN-US, Agree , Disagree, Agree , Agree , Neither Agree or Disagree , Strongly Agree , Strongly Agree , Strongly Agree ,Strongly Agree 
637841502,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
584317026,ES-US, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo
756802143,EN-US, Neither agree or disagree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree,Strongly agree, Agree
128746530,FR-CA, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
547321608,ES-US, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
620374158,EN-US, Strongly Agree, Strongly Agree, Strongly Agree, Agree, Agree, Agree,Strongly Agree, Neither Agree nor Disagree, Disagree
745382601,FR-CA, D'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Ni d'accord ni en désaccord
507382416,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo
854027136,EN-US, Agree, Strongly agree, Disagree, Agree, Strongly agree, Strongly agree, Neither agree or disagree, Agree,Strongly agree
135076428,FR-CA, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord
046825713,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
370251684,EN-US, Strongly Agree, Agree, Agree,Strongly Agree, Disagree, Neither Agree or Disagree, Strongly Agree, Strongly Agree, Agree
712583640,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Ni d'accord ni en désaccord
186235470,ES-US, De acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
618240537,EN-US, Agree, Strongly agree, Agree, Agree, Disagree, Strongly agree,Strongly agree, Neither agree or disagree, Strongly agree
058741263,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
205168473,ES-US, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo
347502618,EN-US, Disagree , Agree , Agree ,Strongly agree , Strongly agree , Agree , Strongly agree , Strongly agree , Neither agree or disagree
758061324,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord
852176430,ES-US, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo
506842371,EN-US, Strongly Agree, Disagree, Agree, Strongly Agree, Neither Agree or Disagree,Strongly Agree, Strongly Agree, Agree, Agree
468073125,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord
381650247,ES-US, De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo ,Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo , De acuerdo , De acuerdo, Totalmente de acuerdo 
172346805,EN-US, Agree,Strongly Agree, Strongly Agree, Agree, Disagree, Neither Agree nor Disagree, Agree, Strongly Agree, Strongly Agree
748210536,FR-CA, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord
786254310,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
856402713,EN-US, Neither agree or disagree, Agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Strongly agree,Strongly agree
801327645,FR-CA, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
815273604,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo
346802157,EN-US, Disagree, Strongly agree, Agree,Strongly agree, Strongly agree, Agree, Strongly agree, Neither agree or disagree, Agree
603521784,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, D'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
314570682,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo
186452370,EN-US, Neither agree or disagree,Strongly Agree, Agree, Strongly Agree, Agree, Disagree, Strongly Agree, Agree, Strongly Agree
540836217,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
812704563,ES-US, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo
627583140,EN-US, Neither agree or disagree, Strongly Agree, Strongly Agree, Agree, Strongly Agree, Agree,Strongly Agree, Strongly Agree, Disagree
823745610,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord
610325784,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
052671843,EN-US,Strongly agree, Agree, Strongly agree, Neither agree or disagree, Agree, Strongly agree, Agree, Disagree, Strongly agree
071835624,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
518063472,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo
625043178,EN-US, Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Strongly Agree,Strongly Agree, Agree, Disagree
783601254,FR-CA, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord
483162057,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo
