813502746,EN-US, Disagree, Strongly Agree, Agree, Strongly Agree, Agree, Agree, Disagree, Strongly Agree,Strongly Agree
826731045,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
176420583,ES-US, De acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
562734810,EN-US, Disagree, Agree, Strongly Agree, Disagree, Agree,Strongly Agree, Strongly Agree, Agree, Strongly Agree
023815467,FR-CA,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
037145682,ES-US,Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
824506317,EN-US, Disagree , Agree , Strongly Agree , Strongly Agree , Strongly Agree , Agree , Agree , Disagree,Strongly Agree 
541268730,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord
082163745,ES-US,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo
317624508,EN-US, Agree , Strongly Agree , Disagree ,Strongly Agree , Agree , Strongly Agree , Agree , Strongly Agree , Disagree
507431682,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
671524308,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
042875136,EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Strongly Agree, Agree, Disagree, Disagree, Agree
140863527,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord
248567310,ES-US, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo
802356471,EN-US, Strongly Agree, Disagree, Strongly Agree, Agree, Strongly Agree, Disagree, Agree, Agree,Strongly Agree
236401587,FR-CA, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
174583026,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo
243610785,EN-US, Agree, Disagree,Strongly Agree, Strongly Agree, Strongly Agree, Disagree, Agree, Strongly Agree, Agree
102364875,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord
420351867,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
615487302,EN-US, Agree, Strongly Agree, Disagree, Strongly Agree, Agree, Strongly Agree,Strongly Agree, Agree, Disagree
624503817,FR-CA, En désaccord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord ,Tout à fait d'accord , D'accord, Tout à fait d'accord 
102576348,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, De acuerdo
734128560,EN-US, Disagree, Agree, Disagree, Strongly Agree, Strongly Agree, Strongly Agree, Agree,Strongly Agree, Agree
760582413,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord
758234106,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
067413285,EN-US,Strongly agree, Disagree, Strongly agree, Agree, Agree, Disagree, Strongly agree, Strongly agree, Agree
436572081,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord
801346527,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo
168472503,EN-US, Agree,Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Strongly Agree
385246107,FR-CA, D'accord , Tout à fait d'accord, D'accord ,Tout à fait d'accord , En désaccord , Tout à fait d'accord , Tout à fait d'accord , D'accord, Tout à fait d'accord 
231407586,ES-US, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo
018267453,EN-US,Strongly Agree, Strongly Agree, Agree, Disagree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree
128643705,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
513076284,ES-US, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo
147620538,EN-US, Agree,Strongly Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Agree, Strongly Agree, Disagree
860431752,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
306275148,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo
