753620184,EN-US, Agree, Strongly Agree, Neither Agree or Disagree, Strongly Agree, Disagree, Strongly Agree, Agree,Strongly Agree, Agree
807534621,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
345702816,ES-US, En desacuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo
140586327,EN-US, Strongly Agree,Strongly Agree, Agree, Strongly Agree, Strongly Agree, Agree, Agree, Neither Agree or Disagree, Disagree
503726184,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
287015463,ES-US, De acuerdo, Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
713480652,EN-US, Agree, Strongly Agree, Neither agree or disagree, Strongly Agree, Agree, Agree, Strongly Agree,Strongly Agree, Disagree
385624071,FR-CA, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
352164087,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo
631248750,EN-US, Neither agree or disagree, Strongly Agree, Agree, Strongly Agree, Disagree, Agree,Strongly Agree, Strongly Agree, Agree
028173654,FR-CA,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord
051476823,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo
643701825,EN-US, Disagree, Agree, Agree, Strongly agree, Strongly agree, Neither agree or disagree,Strongly agree, Agree, Strongly agree
486375102,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord
134607825,ES-US, En desacuerdo ,Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo, De acuerdo , De acuerdo , Totalmente de acuerdo 
176085324,EN-US, Agree,Strongly Agree, Agree, Strongly Agree, Neither agree or disagree, Agree, Strongly Agree, Strongly Agree, Disagree
643278015,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord
742163850,ES-US, De acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo
613725804,EN-US, Agree, Strongly Agree, Disagree, Strongly Agree, Neither agree or disagree, Agree,Strongly Agree, Agree, Strongly Agree
876134502,FR-CA, D'accord, D'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
081435267,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
082374615,EN-US,Strongly agree, Agree, Strongly agree, Agree, Agree, Disagree, Strongly agree, Neither agree or disagree, Strongly agree
018625437,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord
437206518,ES-US, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo
637251084,EN-US, Strongly Agree, Agree, Agree, Strongly Agree, Neither Agree or Disagree, Disagree,Strongly Agree, Strongly Agree, Agree
504738621,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
713284560,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
186073425,EN-US, Agree,Strongly agree, Agree, Agree, Strongly agree, Disagree, Strongly agree, Disagree, Strongly agree
103654287,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, D'accord, Tout à fait d'accord
086135427,ES-US,Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo , En desacuerdo, Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo , De acuerdo, Totalmente de acuerdo 
580634127,EN-US, Strongly agree, Strongly agree, Agree, Disagree, Agree,Strongly agree, Agree, Neither agree or disagree, Strongly agree
273145086,FR-CA, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
304167825,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo
874621053,EN-US, Strongly Agree, Agree, Neither Agree nor Disagree, Disagree, Strongly Agree, Agree, Agree, Strongly Agree,Strongly Agree
582076314,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord
453718062,ES-US, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo
085764132,EN-US,Strongly Agree, Strongly Agree, Neither Agree or Disagree, Strongly Agree, Agree, Strongly Agree, Disagree, Agree, Strongly Agree
358407216,FR-CA, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
037562841,ES-US,Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo
823465170,EN-US, Neither agree or disagree, Strongly agree, Strongly agree, Strongly agree, Agree, Agree, Disagree, Agree,Strongly agree
136270548,FR-CA, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord
746235810,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo , Totalmente de acuerdo , De acuerdo, Totalmente de acuerdo ,Totalmente de acuerdo , Totalmente de acuerdo
685417032,EN-US, Strongly agree, Disagree, Neither agree or disagree, Agree, Agree, Strongly agree,Strongly agree, Agree, Strongly agree
387106425,FR-CA, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
803547216,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo , Ni de acuerdo ni en desacuerdo, De acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo
071435862,EN-US,Strongly agree, Strongly agree, Neither agree or disagree, Disagree, Agree, Agree, Agree, Strongly agree, Strongly agree
571324086,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord
572048631,ES-US, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
815623074,EN-US, Strongly Agree, Strongly Agree, Neither Agree nor Disagree, Agree, Disagree, Strongly Agree, Agree, Strongly Agree,Strongly Agree
783160542,FR-CA, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord
874531602,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo
305471862,EN-US, Strongly Agree, Agree, Neither Agree or Disagree,Strongly Agree, Agree, Strongly Agree, Agree, Disagree, Strongly Agree
430826571,FR-CA, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
713405286,ES-US, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
561432078,EN-US, Strongly agree, Strongly agree, Agree, Disagree, Agree,Strongly agree, Strongly agree, Agree, Neither agree or disagree
160275438,FR-CA, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord
081254367,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
780135462,EN-US, Strongly Agree, Agree, Neither Agree or Disagree, Disagree, Strongly Agree, Agree, Strongly Agree,Strongly Agree, Strongly Agree
738160425,FR-CA, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord
607451832,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
258640731,EN-US, Agree, Disagree,Strongly Agree, Agree, Neither Agree or Disagree, Strongly Agree, Agree, Strongly Agree, Strongly Agree
306842571,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
415783206,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo
457283016,EN-US, Strongly Agree, Agree, Agree, Agree,Strongly Agree, Strongly Agree, Neither Agree or Disagree, Strongly Agree, Disagree
427136805,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
210367548,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, De acuerdo
