671324058,EN-US, Strongly agree , Strongly agree , Strongly agree , Agree , Disagree , Agree ,Agree , Agree , Agree
832140765,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree,Neither agree or disagree
312765804,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
862057314,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
701623584,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree,Agree, Disagree
134586720,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
072815346,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
034521867,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Strongly agree, Disagree
683745120,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
548310726,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
537821406,EN-US, Agree, Agree, Agree, Agree, Disagree,Agree, Agree, Agree, Agree
608713254,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
640813275,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
421037568,EN-US, Agree, Agree, Agree, Agree,Neither agree or disagree, Agree, Agree, Agree, Agree
025783614,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, D'accord
385471062,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo
304251867,EN-US, Agree, Agree, Agree,Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
285764301,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
540271863,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
170824365,EN-US, Agree,Strongly agree, Agree, Agree, Neither agree nor disagree, Agree, Agree, Agree, Neither agree nor disagree
547862301,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
461052387,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
148725306,EN-US, Strongly agree,Agree, Agree, Agree, Neither agree or disagree, Agree, Strongly agree, Strongly agree, Neither agree or disagree
467031285,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
504263178,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
483612570,EN-US, Strongly agree, Agree, Strongly agree, Agree,Neither agree nor disagree, Agree, Strongly agree, Strongly agree, Agree
456271830,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
158763402,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
038715642,EN-US,Strongly agree, Strongly agree, Agree, Agree, Disagree, Agree, Strongly agree, Agree, Agree
136402587,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
067152483,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
157206438,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree or disagree
432876501,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
815270364,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
531064287,EN-US, Strongly agree, Agree, Agree, Agree, Disagree,Agree, Strongly agree, Agree, Neither agree nor disagree
326854107,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
354862170,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
