678102453,ES-US, Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo, En desacuerdo , Totalmente de acuerdo ,Totalmente de acuerdo , Totalmente de acuerdo , Ni de acuerdo ni en desacuerdo 
175683402,EN-US, Strongly agree,Agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree
724081635,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
601527483,ES-US, Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo, En desacuerdo , De acuerdo ,Totalmente de acuerdo , De acuerdo , De acuerdo 
736418205,EN-US, Strongly agree, Strongly agree, Strongly agree, Strongly agree, Neither agree or disagree, Agree, Strongly agree,Agree, Disagree
324180576,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
243061758,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
562741830,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Neither agree or disagree, Strongly agree, Agree, Disagree
672418530,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
743650218,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
537048621,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Neither agree or disagree, Strongly agree, Agree, Agree
280435617,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
287350641,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo
670483512,EN-US, Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree nor Disagree, Agree,Strongly Agree, Strongly Agree, Disagree
063814257,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
378156420,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
241387605,EN-US, Strongly Agree, Strongly Agree,Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree
453812760,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord,Fortement en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord
435872106,ES-US, Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo ,En desacuerdo , Ni de acuerdo ni en desacuerdo , Totalmente de acuerdo, Totalmente de acuerdo , Totalmente de acuerdo 
502467138,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Neither agree or disagree,Neither agree or disagree, Strongly agree, Strongly agree, Disagree
531748620,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
317058462,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
273415608,EN-US, Strongly Agree, Strongly Agree,Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree
018526374,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
748526301,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
508674231,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Neither agree or disagree, Strongly agree, Agree, Disagree
048215673,FR-CA,Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , D'accord, En désaccord , D'accord , Tout à fait d'accord , D'accord , Ni d'accord ni en désaccord 
710836425,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
583746021,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Neither agree or disagree, Strongly agree, Agree, Disagree
084152376,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
687240513,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo
167345028,EN-US, Strongly agree,Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree or disagree
537682014,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
420587613,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo,En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
162350487,EN-US, Strongly Agree,Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Neither agree or disagree
541603872,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord
860521437,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,En desacuerdo
057843261,EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Disagree, Strongly Agree, Agree, Agree
701285634,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
486517320,ES-US, Totalmente de acuerdo, Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo ,Ni de acuerdo ni en desacuerdo , De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo 
726058143,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree,Agree, Disagree
372846015,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
167842530,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
053728614,EN-US,Strongly agree , Strongly agree , Strongly agree , Agree , Disagree, Neither agree or disagree , Strongly agree , Agree , Disagree 
437601258,FR-CA, Tout à fait d'accord , Tout à fait d'accord , D'accord , Tout à fait d'accord ,Ni d'accord ni en désaccord , Tout à fait d'accord , D'accord , D'accord , Ni d'accord ni en désaccord
025834167,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
345827601,EN-US, Strongly agree, Strongly agree, Strongly agree,Neither agree or disagree, Disagree, Agree, Strongly agree, Strongly agree, Agree
602178543,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
740126835,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
357184620,EN-US, Strongly Agree, Strongly Agree, Strongly Agree,Agree, Disagree, Agree, Strongly Agree, Agree, Disagree
827560341,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord
430618725,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
074562183,EN-US,Strongly Agree , Strongly Agree , Strongly Agree , Agree, Neither Agree or Disagree , Agree , Strongly Agree , Agree , Disagree 
645802371,FR-CA, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord,, Tout à fait d'accord,"Les effets secondaires des vaccins sont plus graves que leurs avantages", Tout à fait d'accord, En désaccord
625140783,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo
428153670,EN-US, Strongly Agree, Strongly Agree, Strongly Agree, Agree,Strongly Disagree, Agree, Strongly Agree, Agree, Disagree
308164572,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
785602314,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
537801264,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Neither agree or disagree, Strongly agree, Agree, Disagree
403675128,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
870625143,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
