138726540,EN-US, Neither agree nor disagree,Strongly agree, Disagree, Strongly agree, Agree, Strongly agree, Agree, Agree, Strongly agree
850732641,FR-CA, Tout à fait d'accord, D'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord
740351682,ES-US, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
758612043,EN-US, Strongly agree, Disagree, Agree, Agree, Strongly agree, Strongly agree, Agree,Strongly agree, Strongly agree
820643157,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, D'accord, D'accord,Tout à fait d'accord
257613408,ES-US, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
237586401,EN-US, Agree, Strongly disagree,Agree, Agree, Agree, Agree, Agree, Agree, Disagree
862543107,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord
576410283,ES-US, De acuerdo, En desacuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
452736081,EN-US, Agree, Agree, Agree, Disagree,Agree, Agree, Agree, Agree, Agree
431527680,FR-CA, Ni d'accord ni en désaccord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
674830521,ES-US, De acuerdo, En desacuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
810562374,EN-US, Agree, Agree, Agree, Strongly agree, Neither agree nor disagree, Agree, Disagree, Agree,Agree
456823710,FR-CA, D'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
720365418,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, En desacuerdo
618734502,EN-US, Agree, Strongly agree, Agree, Strongly disagree, Agree, Strongly agree,Strongly agree, Neither agree or disagree, Strongly agree
683712504,FR-CA, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord
451238076,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo
741503286,EN-US, Neither agree nor disagree, Agree, Agree, Agree, Agree, Agree, Agree,Agree, Agree
346871052,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord
354608172,ES-US, En desacuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
371246085,EN-US, Strongly agree, Agree, Disagree,Strongly agree, Disagree, Agree, Agree, Strongly agree, Strongly agree
804531276,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord
861073245,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente en desacuerdo,Totalmente de acuerdo
485370162,EN-US, Agree, Agree, Neither agree nor disagree, Agree,Agree, Agree, Agree, Disagree, Agree
570164283,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, D'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord
740516238,ES-US, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
324507186,EN-US, Disagree, Agree, Agree,Agree, Agree, Agree, Neither agree nor disagree, Agree, Agree
634281705,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
072641385,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
287031564,EN-US, Agree, Agree,Agree, Disagree, Neither agree or disagree, Agree, Agree, Agree, Agree
602173854,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord
236187405,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente en desacuerdo
721430865,EN-US, Agree, Agree, Strongly agree, Disagree, Agree, Agree, Strongly agree,Strongly agree, Strongly agree
358417260,FR-CA, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
248517306,ES-US, De acuerdo, Totalmente en desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo
120583764,EN-US, Agree,Agree, Agree, Agree, Neither agree nor disagree, Agree, Agree, Strongly agree, Disagree
758631402,FR-CA, D'accord, D'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord
528743601,ES-US, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
357612048,EN-US, Strongly agree, Disagree, Agree,Strongly agree, Strongly agree, Strongly agree, Agree, Strongly agree, Neither agree nor disagree
234716058,FR-CA, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
756142038,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
756438120,EN-US, Disagree, Strongly agree, Strongly agree, Strongly disagree, Strongly agree, Strongly agree, Strongly agree,Strongly agree, Agree
052836147,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, D'accord, D'accord
641072583,ES-US, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
517286034,EN-US, Strongly agree, Strongly agree, Agree, Agree, Neither agree or disagree,Strongly agree, Agree, Agree, Disagree
721508436,FR-CA, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord,Tout à fait d'accord, D'accord
543271680,ES-US, En desacuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
316542870,EN-US, Agree, Agree, Agree,Agree, Disagree, Agree, Agree, Agree, Agree
475362801,FR-CA, Tout à fait d'accord, D'accord, D'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord
037621584,ES-US,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
367814205,EN-US, Agree, Disagree, Strongly agree,Agree, Agree, Neither agree or disagree, Strongly agree, Agree, Agree
607423581,FR-CA, Tout à fait d'accord, D'accord, En désaccord, D'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
231486705,ES-US, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo
412375860,EN-US, Agree, Agree, Strongly agree, Agree,Agree, Agree, Strongly agree, Disagree, Strongly agree
245631780,FR-CA, D'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
406587312,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo, En desacuerdo
637251480,EN-US, Agree, Neither agree or disagree, Agree, Agree, Strongly agree, Disagree,Agree, Agree, Agree
180657423,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
624837105,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo
170368542,EN-US, Agree,Strongly agree, Strongly disagree, Agree, Strongly agree, Strongly agree, Disagree, Strongly agree, Agree
812345670,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
241783650,ES-US, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
541307268,EN-US, Disagree, Agree, Strongly agree, Agree, Agree,Strongly agree, Strongly agree, Agree, Neither agree nor disagree
684723105,FR-CA, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
083126745,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
430265718,EN-US, Agree, Agree, Agree, Agree,Agree, Agree, Disagree, Agree, Neither agree nor disagree
612734580,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord
157830642,ES-US, De acuerdo,Totalmente de acuerdo, En desacuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
086352714,EN-US,Agree, Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree
731685024,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord, D'accord,Tout à fait d'accord, En désaccord
481023675,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
