EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas du tout d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord , Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas du tout d'accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Ni d'accord ni en désaccord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas du tout d'accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas du tout d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Neither Agree nor Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Ni d'accord ni en désaccord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Ni d'accord ni en désaccord , Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas du tout d'accord, Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d’accord , Tout à fait d’accord , Tout à fait d’accord , Tout à fait d’accord, Ni d’accord ni en désaccord , Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Pas du tout d’accord
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , D'accord , Pas d'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Pas d'accord , Pas d'accord
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Ni d'accord ni en désaccord
