156473820,EN-US, Strongly agree,Agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree
723416580,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
870625341,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Strongly disagree, Agree, Strongly agree, Agree,Neither agree or disagree
417685230,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
357460281,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
183467205,EN-US, Strongly agree,Agree, Strongly agree, Agree, Neither agree nor disagree, Agree, Strongly agree, Strongly agree, Neither agree nor disagree
637845120,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
481360725,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
850736421,EN-US, Agree, Agree, Agree, Agree, Neither agree or disagree, Agree, Agree, Agree,Neither agree or disagree
036125847,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
148706253,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
017485632,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
365187024,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
680715243,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
026853174,EN-US,Strongly agree, Agree, Agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree
280614753,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
523406871,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
286157043,EN-US, Strongly agree, Strongly agree,Agree, Agree, Strongly disagree, Agree, Agree, Agree, Neither agree or disagree
340287615,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
508347261,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
623854701,EN-US, Strongly agree, Strongly agree, Agree, Agree, Disagree, Agree,Strongly agree, Agree, Disagree
075641238,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
582743160,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
326084157,EN-US, Strongly agree, Strongly agree, Strongly agree,Strongly agree, Neither agree or disagree, Strongly agree, Strongly agree, Strongly agree, Neither agree or disagree
245013876,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
204853761,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
851473602,EN-US, Strongly agree, Agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree,Neither agree or disagree
283561470,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Fortement en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
318042675,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
128053674,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Agree
567820134,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
803157246,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,En desacuerdo
351760824,EN-US, Agree, Agree, Agree,Agree, Neither agree or disagree, Agree, Agree, Agree, Neither agree or disagree
042837516,FR-CA,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
634517802,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
316854702,EN-US, Strongly agree, Agree, Strongly agree,Strongly agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
608714352,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
840271365,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,De acuerdo
125486073,EN-US, Agree,Agree, Agree, Agree, Neither agree or disagree, Agree, Agree, Agree, Agree
374085216,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
468532710,ES-US, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
386512470,EN-US, Strongly agree, Strongly agree, Agree,Agree, Disagree, Agree, Agree, Agree, Neither agree or disagree
870461325,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Ni d'accord ni en désaccord
638742501,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
415836702,EN-US, Agree, Agree, Agree, Agree,Neither agree nor disagree, Agree, Agree, Agree, Agree
216708345,FR-CA, Tout à fait d'accord, D'accord,D'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
038214765,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo
537012864,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Agree, Strongly agree, Agree, Disagree
026754831,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
570138264,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
725306418,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree, Agree,Agree, Neither agree or disagree
531674802,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
843165720,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
642158730,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree,Agree, Agree, Agree
862410537,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, En désaccord, Tout à fait d'accord, Tout à fait d'accord,En désaccord
527348106,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
234617508,EN-US, Strongly agree, Strongly agree,Agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree or disagree
814027653,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord,D'accord
705321648,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
463875021,EN-US, Agree , Agree, Agree , Agree ,Neither agree nor disagree, Agree , Strongly agree , Agree , Agree 
058321467,FR-CA,Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
760518342,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
043571268,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Agree
025371468,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
160285437,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
425601873,EN-US, Strongly agree, Agree, Agree, Agree,Neither agree nor disagree, Agree, Strongly agree, Strongly agree, Disagree
461753208,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
345268170,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
861357402,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree,Disagree
387064251,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
250873614,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
178265304,EN-US, Strongly agree,Agree, Strongly agree, Neither agree nor disagree, Disagree, Strongly agree, Strongly agree, Strongly agree, Neither agree nor disagree
421087653,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
380165742,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
437162580,EN-US, Strongly agree, Agree, Strongly agree, Agree,Neither agree nor disagree, Agree, Strongly agree, Agree, Agree
018437265,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
273085164,ES-US, Totalmente de acuerdo , Totalmente de acuerdo ,Totalmente de acuerdo , De acuerdo , En desacuerdo, De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo 
218647503,EN-US, Strongly agree, Agree,Agree, Neither agree nor disagree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
183527604,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
376025481,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
