152638074,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
025816437,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
084562317,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
386470215,EN-US, Strongly agree, Strongly agree, Strongly agree,Agree, Neither agree nor disagree, Agree, Agree, Agree, Neither agree nor disagree
271085436,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
401352876,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
268417305,EN-US, Agree, Agree,Agree, Agree, Neither agree nor disagree, Agree, Agree, Agree, Neither agree nor disagree
856370124,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,D'accord
861245037,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
370546812,EN-US, Agree, Agree, Agree,Agree, Neither agree nor disagree, Agree, Agree, Agree, Neither agree nor disagree
601837452,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
180453627,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
524613078,EN-US, Agree, Agree, Agree, Agree, Neither agree nor disagree,Agree, Agree, Agree, Agree
671842035,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
425186730,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
831240567,EN-US, Strongly agree, Agree, Agree, Agree, Disagree, Agree, Strongly agree, Strongly agree,Neither agree or disagree
304158672,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
764312508,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
531286407,EN-US, Strongly agree, Agree, Agree, Agree, Disagree,Agree, Strongly agree, Strongly agree, Neither agree nor disagree
370214658,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
253061487,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
075316284,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
571638420,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
764321058,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
460183257,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree,Neither agree or disagree, Agree, Strongly agree, Strongly agree, Agree
368140752,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
024815367,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
564827103,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Agree, Strongly agree, Agree, Agree
174350268,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
527304618,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
652847310,EN-US, Strongly agree, Agree, Agree, Agree, Disagree, Agree,Agree, Agree, Neither agree nor disagree
015823647,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
156704832,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo
